last,first,birth,death,author,title,vol,publisher,date,page,portrait,call_number,name,book,code
Julian,Frank W,1869,,,"Illustrated History of North Idaho embracing Nez Perces, Idaho, Latah, Kootenai and Shoshone Counties",,Western Historical Pub. Co.,1903,196,,Day-NW Oversize F746I4,"Julian, Frank W","Illustrated History of North Idaho embracing Nez Perces, Idaho, Latah, Kootenai and Shoshone Counties (Western Historical Pub. Co.), 1903. p. 196. ",ILLUS
Julius,Larsen,1889,1923,,Bingham County History,,"Blackfoot, Bingham Co. Historical Society",1990,386,,Day-NW F752B6B56 1990,"Julius, Larsen","Bingham County History (Blackfoot, Bingham Co. Historical Society), 1990. p. 386. ",Bingham
Jungst,Carl A,1884,,"French, Hiram T",History of Idaho,3,Chicago The Lewis Pub. Co.,1914,1034,,Day-NW F746F87,"Jungst, Carl A","French, Hiram T. History of Idaho, v. 3 (Chicago The Lewis Pub. Co.), 1914. p. 1034. ",FRENCH
Just,Charles james,1927,,"Beal, Merrill D","History of Idaho, by Merrill Beal and Merle W. Wells",3,"New York, Lewis Historical Pub. Co.",1959,348,,Day-NW F746B335,"Just, Charles james","Beal, Merrill D. History of Idaho, by Merrill Beal and Merle W. Wells, v. 3 (New York, Lewis Historical Pub. Co.), 1959. p. 348. ",B&W
Just,James,,,,Bingham County History,,"Blackfoot, Bingham Co. Historical Society",1990,377,p,Day-NW F752B6B56 1990,"Just, James","Bingham County History (Blackfoot, Bingham Co. Historical Society), 1990. p. 377. [includes portrait]",Bingham
Just,Nels A,1847,1912,"French, Hiram T",History of Idaho,3,Chicago The Lewis Pub. Co.,1914,1271,,Day-NW F746F87,"Just, Nels A","French, Hiram T. History of Idaho, v. 3 (Chicago The Lewis Pub. Co.), 1914. p. 1271. ",FRENCH
Justice,Earl,1894,,,Idaho Oldtime Fiddlers,3,The Idaho Oldtime Fiddlers Association,1963-84,50,p,Day-NW F745.R5,"Justice, Earl","Idaho Oldtime Fiddlers, v. 3 (The Idaho Oldtime Fiddlers Association), 1963-84. p. 50. [includes portrait]",Fiddlers
Justice,Robert L,1842,1917,"Hawley, James H",History of Idaho; The Gem of the Mountains,4,"Chicago, S. J. Clarke Pub. Co.",1920,290,,Day-NW F746H39,"Justice, Robert L","Hawley, James H. History of Idaho; The Gem of the Mountains, v. 4 (Chicago, S. J. Clarke Pub. Co.), 1920. p. 290. ",HAWLEY
Justice,William,1850,,"Hawley, James H",History of Idaho; The Gem of the Mountains,4,"Chicago, S. J. Clarke Pub. Co.",1920,524,,Day-NW F746H39,"Justice, William","Hawley, James H. History of Idaho; The Gem of the Mountains, v. 4 (Chicago, S. J. Clarke Pub. Co.), 1920. p. 524. ",HAWLEY
Justice,Earl,1894,,,Idaho Oldtime Fiddlers,,"Boise, Id., The Idaho Old Time Fiddlers' Association",1963,50,p,Day-NW F745R5,"Justice, Earl","Idaho Oldtime Fiddlers (Boise, Id., The Idaho Old Time Fiddlers' Association), 1963. p. 50. [includes portrait]",IOF
Justison,Raymond Harold,,,"Cox, Cynthia Oslund",Min Slakt/My family,,"University Printing, Pullman Washington",1992,217,,Day-NW F752.L3G69 1992,"Justison, Raymond Harold","Cox, Cynthia Oslund. Min Slakt/My family (University Printing, Pullman Washington), 1992. p. 217. ",Min Slakt
Justison,Marie Lavonne,,,"Cox, Cynthia Oslund",Min Slakt/My family,,"University Printing, Pullman Washington",1992,217,,Day-NW F752.L3G69 1992,"Justison, Marie Lavonne","Cox, Cynthia Oslund. Min Slakt/My family (University Printing, Pullman Washington), 1992. p. 217. ",Min Slakt
Justison,Roger Elmer,,,"Cox, Cynthia Oslund",Min Slakt/My family,,"University Printing, Pullman Washington",1992,217,,Day-NW F752.L3G69 1992,"Justison, Roger Elmer","Cox, Cynthia Oslund. Min Slakt/My family (University Printing, Pullman Washington), 1992. p. 217. ",Min Slakt
Justison,Carol Ann,,,"Cox, Cynthia Oslund",Min Slakt/My family,,"University Printing, Pullman Washington",1992,218,,Day-NW F752.L3G69 1992,"Justison, Carol Ann","Cox, Cynthia Oslund. Min Slakt/My family (University Printing, Pullman Washington), 1992. p. 218. ",Min Slakt
Justison,Dennis,,,"Cox, Cynthia Oslund",Min Slakt/My family,,"University Printing, Pullman Washington",1992,218,,Day-NW F752.L3G69 1992,"Justison, Dennis","Cox, Cynthia Oslund. Min Slakt/My family (University Printing, Pullman Washington), 1992. p. 218. ",Min Slakt
Justus,Edmund,1927,,,"History of Boundary County, Idaho",,"Bonners Ferry, Boundary County Historical Society",1987,355,,Day-NW F752B73H57 1987,"Justus, Edmund","History of Boundary County, Idaho (Bonners Ferry, Boundary County Historical Society), 1987. p. 355. ",Boundary
Justus,Phillip,1899,1961,,"History of Boundary County, Idaho",,"Bonners Ferry, Boundary County Historical Society",1987,355,,Day-NW F752B73H57 1987,"Justus, Phillip","History of Boundary County, Idaho (Bonners Ferry, Boundary County Historical Society), 1987. p. 355. ",Boundary
Jutte,Peter,1860,1902,,"Illustrated History of North Idaho embracing Nez Perces, Idaho, Latah, Kootenai and Shoshone Counties",,Western Historical Pub. Co.,1903,306,p,Day-NW Oversize F746I4,"Jutte, Peter","Illustrated History of North Idaho embracing Nez Perces, Idaho, Latah, Kootenai and Shoshone Counties (Western Historical Pub. Co.), 1903. p. 306. [includes portrait]",ILLUS
Juve,Henrik Dahl,1899,,"Beck, Richard J",100 Famous Idahoans,,"Moscow, ID",1989,60,p,Day-NW F745B421989,"Juve, Henrik Dahl","Beck, Richard J. 100 Famous Idahoans (Moscow, ID), 1989. p. 60. [includes portrait]",Beck
Kachelmeir,Alois,1856,,,"Illustrated History of North Idaho embracing Nez Perces, Idaho, Latah, Kootenai and Shoshone Counties",,Western Historical Pub. Co.,1903,225,,Day-NW Oversize F746I4,"Kachelmeir, Alois","Illustrated History of North Idaho embracing Nez Perces, Idaho, Latah, Kootenai and Shoshone Counties (Western Historical Pub. Co.), 1903. p. 225. ",ILLUS
Kack,Olof,1754,1813,"Cox, Cynthia Oslund",Min Slakt/My family,,"University Printing, Pullman Washington",1992,316,,Day-NW F752.L3G69 1992,"Kack, Olof","Cox, Cynthia Oslund. Min Slakt/My family (University Printing, Pullman Washington), 1992. p. 316. ",Min Slakt
Kackley,Ellis,1871,,"Defenbach, Byron","Idaho, the place and its people",2,"Chicago, The American Historical Society, Inc.",1933,394,,Day-NW F746D36,"Kackley, Ellis","Defenbach, Byron. Idaho, the place and its people, v. 2 (Chicago, The American Historical Society, Inc.), 1933. p. 394. ",Defenbach
Kadletz,Jennie,1861,1936,Idaho State Historical Society,Biennial Report,15,"Boise, Id.",1908-1950,139,,Idaho F741B5,"Kadletz, Jennie","Idaho State Historical Society. Biennial Report, v. 15 (Boise, Id.), 1908-1950. p. 139. ",IHS
Kafoury,Nador C,1873,,"French, Hiram T",History of Idaho,3,Chicago The Lewis Pub. Co.,1914,1095,,Day-NW F746F87,"Kafoury, Nador C","French, Hiram T. History of Idaho, v. 3 (Chicago The Lewis Pub. Co.), 1914. p. 1095. ",FRENCH
Kalanquin,Harry,1892,,,Settlers of the Silver Sage,,"Ricks College Press, Rexburg, ID",1992,557,,Day-NW F752.C55S48 1992,"Kalanquin, Harry","Settlers of the Silver Sage (Ricks College Press, Rexburg, ID), 1992. p. 557. ",Silver
Kalb,George,1932,,,"History of Boundary County, Idaho",,"Bonners Ferry, Boundary County Historical Society",1987,355,p,Day-NW F752B73H57 1987,"Kalb, George","History of Boundary County, Idaho (Bonners Ferry, Boundary County Historical Society), 1987. p. 355. [includes portrait]",Boundary
Kalbus,Lewis A,1887,,"Hawley, James H",History of Idaho; The Gem of the Mountains,4,"Chicago, S. J. Clarke Pub. Co.",1920,420,,Day-NW F746H39,"Kalbus, Lewis A","Hawley, James H. History of Idaho; The Gem of the Mountains, v. 4 (Chicago, S. J. Clarke Pub. Co.), 1920. p. 420. ",HAWLEY
Kaley,Clifford M,1877,,"French, Hiram T",History of Idaho,2,Chicago The Lewis Pub. Co.,1914,700,,Day-NW F746F87,"Kaley, Clifford M","French, Hiram T. History of Idaho, v. 2 (Chicago The Lewis Pub. Co.), 1914. p. 700. ",FRENCH
Kambitch,Jacob,1831,,,"Illustrated History of North Idaho embracing Nez Perces, Idaho, Latah, Kootenai and Shoshone Counties",,Western Historical Pub. Co.,1903,731,,Day-NW Oversize F746I4,"Kambitch, Jacob","Illustrated History of North Idaho embracing Nez Perces, Idaho, Latah, Kootenai and Shoshone Counties (Western Historical Pub. Co.), 1903. p. 731. ",ILLUS
Kamlin,Charles E,1865,,,"Illustrated History of North Idaho embracing Nez Perces, Idaho, Latah, Kootenai and Shoshone Counties",,Western Historical Pub. Co.,1903,954,,Day-NW Oversize F746I4,"Kamlin, Charles E","Illustrated History of North Idaho embracing Nez Perces, Idaho, Latah, Kootenai and Shoshone Counties (Western Historical Pub. Co.), 1903. p. 954. ",ILLUS
Kammers,Adam,1865,,,"Illustrated History of North Idaho embracing Nez Perces, Idaho, Latah, Kootenai and Shoshone Counties",,Western Historical Pub. Co.,1903,286,,Day-NW Oversize F746I4,"Kammers, Adam","Illustrated History of North Idaho embracing Nez Perces, Idaho, Latah, Kootenai and Shoshone Counties (Western Historical Pub. Co.), 1903. p. 286. ",ILLUS
Kammerzell,Harvey,,,,Idaho Oldtime Fiddlers,3,The Idaho Oldtime Fiddlers Association,1963-84,68,p,Day-NW F745.R5,"Kammerzell, Harvey","Idaho Oldtime Fiddlers, v. 3 (The Idaho Oldtime Fiddlers Association), 1963-84. p. 68. [includes portrait]",Fiddlers
Kampeter,August Frederick,1858,1936,"Diffendaffer, Marguerite L.",Council Valley: Here they labored,,The Worthwhile Club of Council Idaho,1977,165,,Day-NW F752A3D54,"Kampeter, August Frederick","Diffendaffer, Marguerite L.. Council Valley: Here they labored (The Worthwhile Club of Council Idaho), 1977. p. 165. ",Council
Kandler,Louis,1892,1952,"Garrett, Tressa Murdoch","History of the uplands Farnum, Drummond, Squirrel, Lamont, and communities faded into the past, 1896-1990",,Idaho,1992,225,p,Day-NW F752.F8G37 1992,"Kandler, Louis","Garrett, Tressa Murdoch. History of the uplands Farnum, Drummond, Squirrel, Lamont, and communities faded into the past, 1896-1990 (Idaho), 1992. p. 225. [includes portrait]",Upland
Kane,James F,1858,,,Illustrated History of the State of Idaho,,"Chicago, The Lewis Pub. Co.",1899,572,,Day-NW Oversize F746I42,"Kane, James F","Illustrated History of the State of Idaho (Chicago, The Lewis Pub. Co.), 1899. p. 572. ",IDAHO
Karlson,Claus Herman,1849,1915,"Estes, Virginia",Pause for Reflection: Cassia County,,"Provo, J. Grant Stevenson",1977,159,,Day-NW F752C3E74,"Karlson, Claus Herman","Estes, Virginia. Pause for Reflection: Cassia County (Provo, J. Grant Stevenson), 1977. p. 159. ",Pause
Karn,E. B,1857,,"Hawley, James H",History of Idaho; The Gem of the Mountains,3,"Chicago, S. J. Clarke Pub. Co.",1920,821,,Day-NW F746H39,"Karn, E. B","Hawley, James H. History of Idaho; The Gem of the Mountains, v. 3 (Chicago, S. J. Clarke Pub. Co.), 1920. p. 821. ",HAWLEY
Karn,Walter,,,"Sermon, Anna Kyle",…as they remember the Little Lost River Valley,,"Stevenson's Genealogy Center, Provo, Utah",2000,216,p,Day-NW F752B9S47 2000,"Karn, Walter","Sermon, Anna Kyle. …as they remember the Little Lost River Valley (Stevenson's Genealogy Center, Provo, Utah), 2000. p. 216. [includes portrait]",Little lost river
Karnes,Lloyd,1918,,,"History of Boundary County, Idaho",,"Bonners Ferry, Boundary County Historical Society",1987,356,p,Day-NW F752B73H57 1987,"Karnes, Lloyd","History of Boundary County, Idaho (Bonners Ferry, Boundary County Historical Society), 1987. p. 356. [includes portrait]",Boundary
Karr,C.W.,,,"Estes, Virginia",Pause for Reflection: Cassia County,,"Provo, J. Grant Stevenson",1977,584,,Day-NW F752C3E74,"Karr, C.W.","Estes, Virginia. Pause for Reflection: Cassia County (Provo, J. Grant Stevenson), 1977. p. 584. ",Pause
Kartzke,Paul R,1874,,"French, Hiram T",History of Idaho,3,Chicago The Lewis Pub. Co.,1914,1112,,Day-NW F746F87,"Kartzke, Paul R","French, Hiram T. History of Idaho, v. 3 (Chicago The Lewis Pub. Co.), 1914. p. 1112. ",FRENCH
Karwowski,John Antony,1902,1951,,Settlers of the Silver Sage,,"Ricks College Press, Rexburg, ID",1992,559,p,Day-NW F752.C55S48 1992,"Karwowski, John Antony","Settlers of the Silver Sage (Ricks College Press, Rexburg, ID), 1992. p. 559. [includes portrait]",Silver
Karwowski,"Teofila ""Tea""",1900,1985,,Settlers of the Silver Sage,,"Ricks College Press, Rexburg, ID",1992,559,p,Day-NW F752.C55S48 1992,"Karwowski, Teofila ""Tea""","Settlers of the Silver Sage (Ricks College Press, Rexburg, ID), 1992. p. 559. [includes portrait]",Silver
Kasberg,Alexander,1875,,"Defenbach, Byron","Idaho, the place and its people",3,"Chicago, The American Historical Society, Inc.",1933,132,,Day-NW F746D36,"Kasberg, Alexander","Defenbach, Byron. Idaho, the place and its people, v. 3 (Chicago, The American Historical Society, Inc.), 1933. p. 132. ",DEFENBACH
Katerndahl,Richard W,1885,,"Hawley, James H",History of Idaho; The Gem of the Mountains,3,"Chicago, S. J. Clarke Pub. Co.",1920,39,,Day-NW F746H39,"Katerndahl, Richard W","Hawley, James H. History of Idaho; The Gem of the Mountains, v. 3 (Chicago, S. J. Clarke Pub. Co.), 1920. p. 39. ",HAWLEY
Katerndahl,Richard W.,1884,1975,,Settlers of the Silver Sage,,"Ricks College Press, Rexburg, ID",1992,560,p,Day-NW F752.C55S48 1992,"Katerndahl, Richard W.","Settlers of the Silver Sage (Ricks College Press, Rexburg, ID), 1992. p. 560. [includes portrait]",Silver
Kator,Louise Ellis,1922,,,Settlers of the Silver Sage,,"Ricks College Press, Rexburg, ID",1992,561,p,Day-NW F752.C55S48 1992,"Kator, Louise Ellis","Settlers of the Silver Sage (Ricks College Press, Rexburg, ID), 1992. p. 561. [includes portrait]",Silver
Kator,"Hubert E. ""Pap""",1914,,,Settlers of the Silver Sage,,"Ricks College Press, Rexburg, ID",1992,561,p,Day-NW F752.C55S48 1992,"Kator, Hubert E. ""Pap""","Settlers of the Silver Sage (Ricks College Press, Rexburg, ID), 1992. p. 561. [includes portrait]",Silver
Kau,Peter M,1860,1935,Idaho State Historical Society,Biennial Report,15,"Boise, Id.",1908-1950,139,,Idaho F741B5,"Kau, Peter M","Idaho State Historical Society. Biennial Report, v. 15 (Boise, Id.), 1908-1950. p. 139. ",IHS
Kauffman,"Clarence C. ""Shorty""",1903,1989,,"Beautiful Bonner: the history of Bonner County, Idaho",,"Dallas, Curtis Media",1991,438,p,Day-NW F752B677B43,"Kauffman, Clarence C. ""Shorty""","Beautiful Bonner: the history of Bonner County, Idaho (Dallas, Curtis Media), 1991. p. 438. [includes portrait]",Bonner
Kauffman,Joseph,,,Lewis County Centennial committee,Lewis County Legacy - A gift from the past,,Lewis County Historical Society,1990,93,,Day-NW F752.L45L48 1990,"Kauffman, Joseph","Lewis County Centennial committee. Lewis County Legacy - A gift from the past (Lewis County Historical Society), 1990. p. 93. ",Lewis
Kauffman,David,,,"Nelson, Debra Holm",Nampa's People: Discovering our Heritage,,"City of Nampa, Nampa Centennial Committee",1987,30,,Day-NW F754N3N36,"Kauffman, David","Nelson, Debra Holm. Nampa's People: Discovering our Heritage (City of Nampa, Nampa Centennial Committee), 1987. p. 30. ",NAMPA
Kaufman,Maier,1830,,"Hawley, James H",History of Idaho; The Gem of the Mountains,3,"Chicago, S. J. Clarke Pub. Co.",1920,679,,Day-NW F746H39,"Kaufman, Maier","Hawley, James H. History of Idaho; The Gem of the Mountains, v. 3 (Chicago, S. J. Clarke Pub. Co.), 1920. p. 679. ",HAWLEY
Kaufman,Edward M.,1873,1940,,Settlers of the Silver Sage,,"Ricks College Press, Rexburg, ID",1992,564,p,Day-NW F752.C55S48 1992,"Kaufman, Edward M.","Settlers of the Silver Sage (Ricks College Press, Rexburg, ID), 1992. p. 564. [includes portrait]",Silver
Kaufman,Meyer,1830,1923,,Settlers of the Silver Sage,,"Ricks College Press, Rexburg, ID",1992,565,,Day-NW F752.C55S48 1992,"Kaufman, Meyer","Settlers of the Silver Sage (Ricks College Press, Rexburg, ID), 1992. p. 565. ",Silver
Kaufman,Ralph Nichols,1895,1968,,Settlers of the Silver Sage,,"Ricks College Press, Rexburg, ID",1992,566,p,Day-NW F752.C55S48 1992,"Kaufman, Ralph Nichols","Settlers of the Silver Sage (Ricks College Press, Rexburg, ID), 1992. p. 566. [includes portrait]",Silver
Kaufman,Ed,,,,Settlers of the Silver Sage,,"Ricks College Press, Rexburg, ID",1992,698,,Day-NW F752.C55S48 1992,"Kaufman, Ed","Settlers of the Silver Sage (Ricks College Press, Rexburg, ID), 1992. p. 698. ",Silver
Kavanaugh,A.F.,,1927,"Yarber, Esther",Stanley-Sawtooth country,,"Publishers Press, Salt Lake city, Utah",1976,376,,Day-NW F752.C9Y33,"Kavanaugh, A.F.","Yarber, Esther. Stanley-Sawtooth country (Publishers Press, Salt Lake city, Utah), 1976. p. 376. ",Stanley
Kay,Hyrum,1861,,"Defenbach, Byron","Idaho, the place and its people",2,"Chicago, The American Historical Society, Inc.",1933,353,,Day-NW F746D36,"Kay, Hyrum","Defenbach, Byron. Idaho, the place and its people, v. 2 (Chicago, The American Historical Society, Inc.), 1933. p. 353. ",Defenbach
Kay,Venna,,,"Hart, Newell","Hometown album : a pictorial history of Franklin County, Idaho, horse and buggy days and early auto era",,"Cache Valley Newsletter Pub. Co.Preston, Idaho",1973,582,p,Day-NW F752.F7H37 1973,"Kay, Venna","Hart, Newell. Hometown album : a pictorial history of Franklin County, Idaho, horse and buggy days and early auto era (Cache Valley Newsletter Pub. Co.Preston, Idaho), 1973. p. 582. [includes portrait]",Franklin
Kay,Leslie G,1881,,"French, Hiram T",History of Idaho,2,Chicago The Lewis Pub. Co.,1914,793,,Day-NW F746F87,"Kay, Leslie G","French, Hiram T. History of Idaho, v. 2 (Chicago The Lewis Pub. Co.), 1914. p. 793. ",FRENCH
Kay,Johnny,,,,Settlers of the Silver Sage,,"Ricks College Press, Rexburg, ID",1992,567,,Day-NW F752.C55S48 1992,"Kay, Johnny","Settlers of the Silver Sage (Ricks College Press, Rexburg, ID), 1992. p. 567. ",Silver
Kays,Marion Reed,1881,,"French, Hiram T",History of Idaho,3,Chicago The Lewis Pub. Co.,1914,952,,Day-NW F746F87,"Kays, Marion Reed","French, Hiram T. History of Idaho, v. 3 (Chicago The Lewis Pub. Co.), 1914. p. 952. ",FRENCH
Kays,Marion Reed,1881,,"Hawley, James H",History of Idaho; The Gem of the Mountains,4,"Chicago, S. J. Clarke Pub. Co.",1920,210,,Day-NW F746H39,"Kays, Marion Reed","Hawley, James H. History of Idaho; The Gem of the Mountains, v. 4 (Chicago, S. J. Clarke Pub. Co.), 1920. p. 210. ",HAWLEY
Kayser,Donald Neal,1932,,,"History of Boundary County, Idaho",,"Bonners Ferry, Boundary County Historical Society",1987,356,,Day-NW F752B73H57 1987,"Kayser, Donald Neal","History of Boundary County, Idaho (Bonners Ferry, Boundary County Historical Society), 1987. p. 356. ",Boundary
Keane,James J,,,"Hawley, James H",History of Idaho; The Gem of the Mountains,4,"Chicago, S. J. Clarke Pub. Co.",1920,227,,Day-NW F746H39,"Keane, James J","Hawley, James H. History of Idaho; The Gem of the Mountains, v. 4 (Chicago, S. J. Clarke Pub. Co.), 1920. p. 227. ",HAWLEY
Keane,Patrick,1844,,,"Illustrated History of North Idaho embracing Nez Perces, Idaho, Latah, Kootenai and Shoshone Counties",,Western Historical Pub. Co.,1903,1135,,Day-NW Oversize F746I4,"Keane, Patrick","Illustrated History of North Idaho embracing Nez Perces, Idaho, Latah, Kootenai and Shoshone Counties (Western Historical Pub. Co.), 1903. p. 1135. ",ILLUS
Kearsley,Lynn S,1917,,"Beal, Merrill D","History of Idaho, by Merrill Beal and Merle W. Wells",3,"New York, Lewis Historical Pub. Co.",1959,424,,Day-NW F746B335,"Kearsley, Lynn S","Beal, Merrill D. History of Idaho, by Merrill Beal and Merle W. Wells, v. 3 (New York, Lewis Historical Pub. Co.), 1959. p. 424. ",B&W
Keatley,Leo John,,,"Raymond, Gwen","McCammon, Idaho : yesterday and today",,"McCommon, Idaho",1991,114,,Day-NW F752B2 1991,"Keatley, Leo John","Raymond, Gwen. McCammon, Idaho : yesterday and today (McCommon, Idaho), 1991. p. 114. ",MaCammon
Keckler,Augustus Henry,1875,1955,"Diffendaffer, Marguerite L.",Council Valley: Here they labored,,The Worthwhile Club of Council Idaho,1977,167,,Day-NW F752A3D54,"Keckler, Augustus Henry","Diffendaffer, Marguerite L.. Council Valley: Here they labored (The Worthwhile Club of Council Idaho), 1977. p. 167. ",Council
Kee,Lee,1845,1933,Idaho State Historical Society,Biennial Report,14,"Boise, Id.",1908-1950,90,,Idaho F741B5,"Kee, Lee","Idaho State Historical Society. Biennial Report, v. 14 (Boise, Id.), 1908-1950. p. 90. ",IHS
Keefer,Clyde,1899,,"Beal, Merrill D","History of Idaho, by Merrill Beal and Merle W. Wells",3,"New York, Lewis Historical Pub. Co.",1959,499,,Day-NW F746B335,"Keefer, Clyde","Beal, Merrill D. History of Idaho, by Merrill Beal and Merle W. Wells, v. 3 (New York, Lewis Historical Pub. Co.), 1959. p. 499. ",B&W
Keefer,Louise,,,,Idaho Oldtime Fiddlers,3,The Idaho Oldtime Fiddlers Association,1963-84,107,p,Day-NW F745.R5,"Keefer, Louise","Idaho Oldtime Fiddlers, v. 3 (The Idaho Oldtime Fiddlers Association), 1963-84. p. 107. [includes portrait]",Fiddlers
Keefer,Joseph,1866,,"Hawley, James H",History of Idaho; The Gem of the Mountains,2,"Chicago, S. J. Clarke Pub. Co.",1920,103,,Day-NW F746H39,"Keefer, Joseph","Hawley, James H. History of Idaho; The Gem of the Mountains, v. 2 (Chicago, S. J. Clarke Pub. Co.), 1920. p. 103. ",HAWLEY
Keefer,William W,1852,,"Hawley, James H",History of Idaho; The Gem of the Mountains,3,"Chicago, S. J. Clarke Pub. Co.",1920,366,p,Day-NW F746H39,"Keefer, William W","Hawley, James H. History of Idaho; The Gem of the Mountains, v. 3 (Chicago, S. J. Clarke Pub. Co.), 1920. p. 366. [includes portrait]",HAWLEY
Keefer,Christopher F,1867,,,"Illustrated History of North Idaho embracing Nez Perces, Idaho, Latah, Kootenai and Shoshone Counties",,Western Historical Pub. Co.,1903,501,,Day-NW Oversize F746I4,"Keefer, Christopher F","Illustrated History of North Idaho embracing Nez Perces, Idaho, Latah, Kootenai and Shoshone Counties (Western Historical Pub. Co.), 1903. p. 501. ",ILLUS
Keefer,David P,1830,,,Progressive men of Southern Idaho,,"Chicago, W. A. Bowen & Co.",1904,923,,Day-NW F745P97,"Keefer, David P","Progressive men of Southern Idaho (Chicago, W. A. Bowen & Co.), 1904. p. 923. ",PROG S
Keelen,Thomas J,1877,,"Hawley, James H",History of Idaho; The Gem of the Mountains,2,"Chicago, S. J. Clarke Pub. Co.",1920,370,,Day-NW F746H39,"Keelen, Thomas J","Hawley, James H. History of Idaho; The Gem of the Mountains, v. 2 (Chicago, S. J. Clarke Pub. Co.), 1920. p. 370. ",HAWLEY
Keene,Wade Thomas,1889,1973,"Ingle, Gerald",Gleanings from Big Bear Ridge,,"Moscow, Latah County Historical Society",1982,135,,Day-NW F752B5G7,"Keene, Wade Thomas","Ingle, Gerald. Gleanings from Big Bear Ridge (Moscow, Latah County Historical Society), 1982. p. 135. ",Ingle
Keener,Claude,,,,"Beautiful Bonner: the history of Bonner County, Idaho",,"Dallas, Curtis Media",1991,439,,Day-NW F752B677B43,"Keener, Claude","Beautiful Bonner: the history of Bonner County, Idaho (Dallas, Curtis Media), 1991. p. 439. ",Bonner
Keener,Kenna,,,,"Beautiful Bonner: the history of Bonner County, Idaho",,"Dallas, Curtis Media",1991,439,p,Day-NW F752B677B43,"Keener, Kenna","Beautiful Bonner: the history of Bonner County, Idaho (Dallas, Curtis Media), 1991. p. 439. [includes portrait]",Bonner
Keener,Isaac Lafayette,1870,,"Hawley, James H",History of Idaho; The Gem of the Mountains,4,"Chicago, S. J. Clarke Pub. Co.",1920,457,,Day-NW F746H39,"Keener, Isaac Lafayette","Hawley, James H. History of Idaho; The Gem of the Mountains, v. 4 (Chicago, S. J. Clarke Pub. Co.), 1920. p. 457. ",HAWLEY
Keener,James Marion,1876,,"Hawley, James H",History of Idaho; The Gem of the Mountains,4,"Chicago, S. J. Clarke Pub. Co.",1920,446,,Day-NW F746H39,"Keener, James Marion","Hawley, James H. History of Idaho; The Gem of the Mountains, v. 4 (Chicago, S. J. Clarke Pub. Co.), 1920. p. 446. ",HAWLEY
Keeney,Jacob W,1832,,,Bingham County History,,"Blackfoot, Bingham Co. Historical Society",1990,378,,Day-NW F752B6B56 1990,"Keeney, Jacob W","Bingham County History (Blackfoot, Bingham Co. Historical Society), 1990. p. 378. ",Bingham
Keeney,Emma,1882,1936,Idaho State Historical Society,Biennial Report,15,"Boise, Id.",1908-1950,140,,Idaho F741B5,"Keeney, Emma","Idaho State Historical Society. Biennial Report, v. 15 (Boise, Id.), 1908-1950. p. 140. ",IHS
Keeney,Peter L,1854,1928,Idaho State Historical Society,Biennial Report,11,"Boise, Id.",1908-1950,86,,Idaho F741B5,"Keeney, Peter L","Idaho State Historical Society. Biennial Report, v. 11 (Boise, Id.), 1908-1950. p. 86. ",IHS
Keeney,Elijah N,1866,,,"Illustrated History of North Idaho embracing Nez Perces, Idaho, Latah, Kootenai and Shoshone Counties",,Western Historical Pub. Co.,1903,184,p,Day-NW Oversize F746I4,"Keeney, Elijah N","Illustrated History of North Idaho embracing Nez Perces, Idaho, Latah, Kootenai and Shoshone Counties (Western Historical Pub. Co.), 1903. p. 184. [includes portrait]",ILLUS
Keeper,David,,,"Groefsema, Olive",Elmore county: Its historical gleanings,,"The Caxton Printers, Ltd., Caldwell, Idaho",1949,47,p,Day-NW F752E4G7,"Keeper, David","Groefsema, Olive. Elmore county: Its historical gleanings (The Caxton Printers, Ltd., Caldwell, Idaho), 1949. p. 47. [includes portrait]",Elmore
Keetch,Charles Greenwood,1837,1895,"Haddock, Edith Parker and Dorothy Hardy Matthews",History of Bear Lake Pioneers,,"Paris, Idaho, Daughters of Utah Pioneers",1968,332,p,Day-NW F752B3P47,"Keetch, Charles Greenwood","Haddock, Edith Parker and Dorothy Hardy Matthews. History of Bear Lake Pioneers (Paris, Idaho, Daughters of Utah Pioneers), 1968. p. 332. [includes portrait]",Bear
Keetch,Mercy Truth Barker,1835,1910,"Haddock, Edith Parker and Dorothy Hardy Matthews",History of Bear Lake Pioneers,,"Paris, Idaho, Daughters of Utah Pioneers",1968,332,,Day-NW F752B3P47,"Keetch, Mercy Truth Barker","Haddock, Edith Parker and Dorothy Hardy Matthews. History of Bear Lake Pioneers (Paris, Idaho, Daughters of Utah Pioneers), 1968. p. 332. ",Bear
Keetch,Charles Greenwood,1861,1926,"Haddock, Edith Parker and Dorothy Hardy Matthews",History of Bear Lake Pioneers,,"Paris, Idaho, Daughters of Utah Pioneers",1968,336,p,Day-NW F752B3P47,"Keetch, Charles Greenwood","Haddock, Edith Parker and Dorothy Hardy Matthews. History of Bear Lake Pioneers (Paris, Idaho, Daughters of Utah Pioneers), 1968. p. 336. [includes portrait]",Bear
Keetch,Ellen N. Pugmire,1865,1930,"Haddock, Edith Parker and Dorothy Hardy Matthews",History of Bear Lake Pioneers,,"Paris, Idaho, Daughters of Utah Pioneers",1968,336,p,Day-NW F752B3P47,"Keetch, Ellen N. Pugmire","Haddock, Edith Parker and Dorothy Hardy Matthews. History of Bear Lake Pioneers (Paris, Idaho, Daughters of Utah Pioneers), 1968. p. 336. [includes portrait]",Bear
